+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.5610   |
| epoch 2  |   0.3898   |
| epoch 3  |   0.2894   |
| epoch 4  |   0.2108   |
| epoch 5  |   0.1633   |
| epoch 6  |   0.1305   |
| epoch 7  |   0.1187   |
| epoch 8  |   0.1010   |
| epoch 9  |   0.0941   |
| epoch 10 |   0.0920   |
| epoch 11 |   0.0829   |
| epoch 12 |   0.0723   |
| epoch 13 |   0.0713   |
| epoch 14 |   0.0634   |
| epoch 15 |   0.0645   |
| epoch 16 |   0.0572   |
| epoch 17 |   0.0583   |
| epoch 18 |   0.0464   |
| epoch 19 |   0.0481   |
| epoch 20 |   0.0414   |
| epoch 21 |   0.0486   |
| epoch 22 |   0.0453   |
| epoch 23 |   0.0421   |
| epoch 24 |   0.0403   |
| epoch 25 |   0.0381   |
| epoch 26 |   0.0300   |
| epoch 27 |   0.0289   |
| epoch 28 |   0.0316   |
| epoch 29 |   0.0308   |
| epoch 30 |   0.0277   |
| epoch 31 |   0.0239   |
| epoch 32 |   0.0248   |
| epoch 33 |   0.0249   |
| epoch 34 |   0.0267   |
| epoch 35 |   0.0204   |
| epoch 36 |   0.0301   |
| epoch 37 |   0.0241   |
| epoch 38 |   0.0214   |
| epoch 39 |   0.0265   |
| epoch 40 |   0.0164   |
| epoch 41 |   0.0232   |
| epoch 42 |   0.0234   |
| epoch 43 |   0.0206   |
| epoch 44 |   0.0172   |
| epoch 45 |   0.0177   |
| epoch 46 |   0.0180   |
| epoch 47 |   0.0167   |
| epoch 48 |   0.0107   |
| epoch 49 |   0.0109   |
| epoch 50 |   0.0129   |
+----------+------------+
